antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'Concealer', 'Mascara', 'Lip liner'})","frozenset({'Eye shadow', 'Bronzer'})",0.078,0.149,0.063,0.807692308,5.420753743,0.051378,4.4252
"frozenset({'Eye shadow', 'Lip Gloss'})","frozenset({'Concealer', 'Foundation'})",0.125,0.081,0.054,0.432,5.333333333,0.043875,1.617957746
"frozenset({'Concealer', 'Mascara'})","frozenset({'Brushes', 'Eye shadow', 'Nail Polish'})",0.081,0.125,0.054,0.666666667,5.333333333,0.043875,2.625
"frozenset({'Nail Polish', 'Eyeliner'})","frozenset({'Eye shadow', 'Mascara'})",0.149,0.087,0.069,0.463087248,5.322841935,0.056037,1.7004625
"frozenset({'Concealer', 'Mascara'})","frozenset({'Eye shadow', 'Blush', 'Eyeliner'})",0.087,0.149,0.069,0.793103448,5.322841935,0.056037,4.113166667
"frozenset({'Eye shadow', 'Foundation'})","frozenset({'Concealer', 'Lip Gloss'})",0.125,0.083,0.055,0.44,5.301204819,0.044625,1.6375
frozenset({'Mascara'}),"frozenset({'Eye shadow', 'Blush', 'Foundation', 'Lip Gloss'})",0.083,0.125,0.055,0.662650602,5.301204819,0.044625,2.59375
"frozenset({'Eye shadow', 'Nail Polish'})","frozenset({'Mascara', 'Bronzer'})",0.149,0.125,0.097,0.651006711,5.208053691,0.078375,2.507211538
"frozenset({'Mascara', 'Eyeliner'})","frozenset({'Concealer', 'Lip Gloss'})",0.125,0.149,0.097,0.776,5.208053691,0.078375,3.799107143
frozenset({'Mascara'}),"frozenset({'Brushes', 'Eye shadow', 'Concealer'})",0.149,0.071,0.055,0.369127517,5.19897911,0.044421,1.47256383
"frozenset({'Eye shadow', 'Concealer', 'Bronzer'})","frozenset({'Mascara', 'Eyeliner'})",0.071,0.149,0.055,0.774647887,5.19897911,0.044421,3.7763125
frozenset({'Eye shadow'}),"frozenset({'Mascara', 'Nail Polish', 'Lip Gloss'})",0.149,0.07,0.054,0.362416107,5.177372963,0.04357,1.458631579
"frozenset({'Mascara', 'Concealer', 'Lip liner'})",frozenset({'Bronzer'}),0.149,0.07,0.054,0.362416107,5.177372963,0.04357,1.458631579
"frozenset({'Concealer', 'Mascara'})","frozenset({'Eye shadow', 'Eyeliner', 'Bronzer'})",0.07,0.149,0.054,0.771428571,5.177372963,0.04357,3.723125
frozenset({'Concealer'}),"frozenset({'Eye shadow', 'Mascara', 'Eyeliner', 'Bronzer'})",0.07,0.149,0.054,0.771428571,5.177372963,0.04357,3.723125
"frozenset({'Eye shadow', 'Mascara'})","frozenset({'Concealer', 'Lip liner'})",0.134,0.092,0.063,0.470149254,5.110317975,0.050672,1.713690141
"frozenset({'Concealer', 'Blush', 'Lip Gloss'})","frozenset({'Eye shadow', 'Mascara'})",0.092,0.134,0.063,0.684782609,5.110317975,0.050672,2.747310345
frozenset({'Mascara'}),"frozenset({'Eye shadow', 'Foundation', 'Lip Gloss'})",0.112,0.102,0.058,0.517857143,5.077030812,0.046576,1.862518519
"frozenset({'Eye shadow', 'Foundation'})","frozenset({'Eyeliner', 'Lip Gloss'})",0.102,0.112,0.058,0.568627451,5.077030812,0.046576,2.058545455
"frozenset({'Eye shadow', 'Mascara', 'Eyeliner'})",frozenset({'Nail Polish'}),0.149,0.069,0.052,0.348993289,5.057873748,0.041719,1.430092784
